1,2,3,4,5,6,7
1.000781,0.251089,-0.15288,-0.27148,-1.2585,0.967313766,2.144363403
1.049609,-1.79969,0.47782,-0.27148,-1.31954,1.016141891,1.930740356
-0.14668,-1.14051,0.721961,-0.63769,-1.16695,-1.620576859,1.534011841
-0.68379,0.360952,0.23368,-0.47492,-1.2585,-3.353975296,0.435379028
0.048632,-1.23817,0.864379,0.37957,-1.74678,-3.866670609,0.282791138
2.734179,-2.26356,0.803344,0.054039,-1.74678,-0.790498734,1.472976685
1.244922,-3.41102,-0.33598,0.460945,-2.02144,1.406766891,1.015213013
2.148242,-2.08045,-0.58012,0.745781,-1.53316,2.603055954,1.167800903
-0.39082,-0.38368,-0.01046,0.989921,-1.01436,3.408720016,1.991775513
0.610156,-1.88514,0.559203,1.315437,-0.83125,2.847196579,2.20539856
0.903125,-1.33582,0.457477,0.827156,-1.13643,5.508329391,1.930740356
1.391406,-1.04286,0.131957,0.745781,-1.16695,3.481962204,0.771072388
-1.00117,0.458609,0.070922,-0.9632,-1.16695,1.113798141,0.8931427
-2.66133,1.264273,0.03023,-0.75976,-1.2585,-0.204561234,0.435379028
0.073047,-0.04188,0.762652,0.054039,-0.86177,-0.814912796,-0.358078003
-2.14863,-0.29823,0.966102,1.071296,-0.61763,-2.865694046,-0.510665894
0.683398,-3.42323,0.803344,1.315437,-1.01436,-3.012178421,0.038650513
0.073047,-0.20057,0.518512,1.152672,-1.47212,-1.522920609,0.587966919
1.049609,-0.9452,0.131957,0.827156,-1.74678,0.381376266,0.954177856
0.585742,-0.22499,-0.33598,-0.1901,-1.41109,1.113798141,1.564529419
-0.80586,-0.95741,0.294715,-0.88183,-0.95332,1.821805954,1.442459106
0.488086,-1.4579,0.47782,-0.59699,-1.65523,1.211454391,-0.327560425
2.026172,-0.55457,-0.31564,0.460945,-2.35713,0.723173141,0.25227356
1.879687,-2.30018,-0.0715,0.054039,-1.80782,2.114774704,0.771072388
-0.19551,-1.9828,0.152301,-0.27148,-1.19747,0.552274704,0.74055481
1.806445,-0.44471,0.35575,-0.23078,-1.2585,-2.401826859,1.015213013
1.562304,2.008902,-0.19357,0.705085,-1.07539,-2.401826859,0.771072388
-0.61055,-0.5912,-0.60046,-0.14941,-0.2209,0.747587204,-0.358078003
0.195117,-2.61756,-0.2546,0.054039,-1.04488,2.480985641,-0.297042847
2.416797,-1.22596,0.213336,-0.43424,-1.83833,1.113798141,1.656082153
0.951953,0.837027,0.47782,-0.84113,-1.35005,0.918485641,1.686599731
1.708789,0.470816,0.35575,-0.1901,-0.40401,0.430204391,0.221755981
-0.09785,-2.37342,-0.11218,0.216804,-0.61763,-0.912569046,-0.480148315
0.243945,0.190054,-0.62081,-0.23078,-0.15987,-0.814912796,0.069168091
0.463672,0.031363,-0.27495,0.298179,-0.00728,1.187040329,0.618484497
0.829882,0.775991,0.131957,-1.28873,0.084273,3.018095016,0.954177856
-0.29316,-0.99403,-0.11218,-1.45148,0.542037,3.311063766,0.526931763
1.366992,1.056753,0.35575,-0.43424,0.725142,1.309110641,0.160720825
1.513476,0.94689,0.23368,0.216804,0.725142,0.552274704,0.069168091
2.367968,-0.88416,-0.49874,0.62371,0.75566,-0.082490921,1.137283325
1.684375,-1.65321,-0.76323,0.460945,0.908248,0.601102829,1.137283325
0.707812,-0.26161,0.192992,-0.27148,0.9998,-1.229951859,1.22883606
-0.8791,-2.32459,0.599891,-0.80045,-0.46504,0.503446579,0.771072388
3.051562,-0.4325,0.192992,-0.10871,-1.22798,2.480985641,-0.541183472
0.878711,1.117788,0.152301,-0.75976,-0.92281,1.040555954,-0.144454956
